index,A,A_s,B,B_s
479,0,0,-0.039376804,0
480,0,0,0,0
481,0,0,0,0
482,0,0,0,0
483,0,0,0,0
484,0,0,0,0
485,0,0,-0.024023635,0
486,0,0,-0.122850929,0
487,0,0,-0.263952596,0
488,0,0,-0.36148337,0
489,0,0,-0.517064571,0
490,0,0,-0.57152714,0
491,0,0,-0.617487022,0
492,0,0,-0.555557455,0
493,0,0,-0.566381761,-0.142857143
494,0,0,-0.623730523,-0.285714286
495,0,0,-0.91414472,-0.428571429
496,0,0,-1.036943163,-0.571428571
497,0,0,-1.21099581,-0.714285714
498,0,0,-1.291601045,-0.857142857
499,0,0,-1.216302599,-1
500,0,0,-1.034870897,-0.857142857
501,0,0,-0.616616862,-0.714285714
502,0,0,-0.012438297,-0.571428571
503,0,0,0,-0.428571429
504,0,0,0,-0.285714286
505,0,0,0,-0.142857143
506,0,0,0,0
507,0,0,0,0
508,0,0,0,0
509,0,0,0,0
510,0,0,0,0
511,0,0,0,0
512,0,0,0,0
513,0,0,-0.018554381,0
514,0,0,-0.235120944,0
515,0,0,-0.527736459,0
516,0,0,-0.7780947,0
517,0.118245534,0,-1.041036401,0
518,0.566097464,0,-1.414489201,-0.142857143
519,0.996272632,0,-1.722489902,-0.285714286
520,1.050410339,0,-1.742995943,-0.428571429
521,1.171355247,0,-1.834582056,-0.571428571
522,1.134931156,0,-1.696847098,-0.714285714
523,1.134767124,0,-1.623248509,-0.857142857
524,1.191348485,0,-1.598948206,-1
525,1.006286553,0,-1.315221242,-0.857142857
526,0.752864225,0,-1.06829364,-0.714285714
527,0.668944631,0,-0.887481417,-0.571428571
528,0.433351074,0,-0.573633739,-0.428571429
529,0.26363962,0,-0.405569008,-0.285714286
530,0.064031942,0,-0.262482643,-0.142857143
531,0,0,-0.108944825,0
532,0,0,-0.129609517,0
533,0,0,-0.05119133,0
534,0,0,-0.067503248,0
535,0,0,-0.368075745,-0.142857143
536,0,0,-0.722820691,-0.285714286
537,0.087826014,0,-0.991862161,-0.428571429
538,0.296130214,0,-1.224520547,-0.571428571
539,0.446975401,0,-1.519154957,-0.714285714
540,0.616856303,0,-1.838623047,-0.857142857
541,0.708399841,0,-2.037439891,-1
542,0.561325823,0,-1.928640366,-0.857142857
543,0.295026439,0,-1.597759792,-0.714285714
544,0.213794436,0,-1.478649821,-0.571428571
545,0.133216245,0,-1.388354846,-0.428571429
546,0.002301761,0,-1.106852804,-0.285714286
547,0.072646788,0,-0.99416726,-0.142857143
548,0.217848744,0,-0.99332646,0
549,0.411875725,0,-1.12488372,0
550,0.644686631,0,-1.358835357,0
551,0.708291462,0,-1.341247014,0
552,0.92958246,0.142857143,-1.540816307,-0.142857143
553,1.247189658,0.285714286,-1.843150684,-0.285714286
554,1.273467064,0.428571429,-1.896059854,-0.428571429
555,1.190929685,0.571428571,-1.874030658,-0.571428571
556,1.222091947,0.714285714,-1.848928452,-0.714285714
557,1.302127566,0.857142857,-1.816605704,-0.857142857
558,1.404426983,1,-1.984814916,-1
559,1.188656671,0.857142857,-1.769581658,-0.857142857
560,1.06410374,0.714285714,-1.640610559,-0.714285714
561,1.07997867,0.571428571,-1.661320005,-0.571428571
562,1.282116481,0.428571429,-1.784123284,-0.428571429
563,1.362796238,0.285714286,-1.898529598,-0.285714286
